,meshcode,elcode,attrnmno,objectid,geometry
0,513244,111100,1440,4-32-20-5-1636411,"LINESTRING (477054649 123791483, 477048186 123793016, 477042623 123794449, 477038655 123795449, 477036651 123795949, 477029246 123797849, 477025525 123798815, 477021188 123799982, 477017506 123801082, 477014235 123802082, 477010594 123803315, 477001840 123806414, 476990919 123810246)"
1,513244,111100,1440,4-32-20-5-1636415,"LINESTRING (477220643 123774219, 477215612 123775386, 477210499 123776419, 477205754 123777285, 477201295 123778018, 477196919 123778585, 477191478 123779185)"
2,513244,111200,1440,4-32-20-5-1636419,"LINESTRING (477054649 123791483, 477064957 123789084, 477068312 123788384, 477070848 123787884, 477073998 123787317, 477077311 123786817, 477080011 123786484, 477082792 123786184, 477088232 123785750, 477091669 123785550, 477098010 123785217, 477115108 123784450, 477125375 123783817, 477128688 123783584, 477147791 123782084, 477161413 123781084, 477172048 123780350, 477191478 123779185)"
3,513244,111200,1440,4-32-20-5-1636423,"LINESTRING (477440881 123655476, 477436627 123657909, 477426686 123663574, 477417073 123669107, 477410652 123672840, 477403943 123676672, 477387294 123685738, 477378745 123690337, 477366882 123696803, 477350561 123705801, 477336694 123713665, 477323563 123721297, 477314113 123726629, 477299305 123734561, 477293006 123737860, 477289447 123739827, 477268749 123751224, 477249155 123761855, 477245186 123763954, 477241260 123766021, 477237619 123767788, 477234387 123769253, 477229275 123771253, 477225102 123772753, 477220643 123774219)"
4,513244,121100,1441,4-32-20-5-1636427,"LINESTRING (477228210 123807550, 477235328 123814149, 477237455 123816216, 477239500 123818249, 477240032 123818683, 477241341 123819749, 477242159 123820216, 477243346 123820849, 477245064 123821583, 477249767 123823749, 477259012 123827849, 477267152 123831449, 477273205 123834149, 477274064 123834616, 477275251 123835349, 477276273 123836149, 477277092 123836883, 477277951 123837783, 477278687 123838716, 477279178 123839516, 477279710 123840549, 477280200 123841749, 477280609 123843148, 477283391 123851748)"
5,513244,121100,1441,4-32-20-5-1636431,"LINESTRING (477110895 123739089, 477114986 123738222, 477116868 123737990, 477118545 123737890, 477121080 123737990, 477126276 123738423, 477133475 123739089, 477135520 123739389, 477137607 123739855, 477139325 123740455, 477140469 123740855, 477145828 123743489, 477155032 123748021, 477163049 123752021, 477167631 123754253, 477171762 123756320, 477173153 123757087, 477174871 123758153, 477176753 123759587, 477179124 123761752, 477182070 123764519, 477185792 123767952, 477194751 123776418, 477205713 123786584, 477219907 123799784, 477228210 123807550)"
6,513244,121100,1441,4-32-20-5-1636443,"LINESTRING (477283391 123851748, 477284780 123856214, 477285149 123857147, 477285762 123858314, 477286417 123859247, 477286949 123859914, 477288994 123862314, 477290508 123864014, 477291407 123865380, 477291939 123866513, 477292920 123868980, 477293861 123871280, 477294720 123872946, 477300447 123882679, 477306787 123893278, 477307687 123894811, 477308464 123895811, 477308873 123896211, 477309854 123897144, 477310917 123897944, 477312226 123898678, 477312922 123899044, 477315376 123900077, 477317095 123900843, 477317831 123901243, 477319631 123902543, 477320612 123903443, 477321307 123904277, 477321921 123905343, 477323394 123908510, 477324212 123910410, 477324744 123911676)"
7,513244,121100,1441,4-32-20-5-1636455,"LINESTRING (476990919 123803214, 476992269 123803214)"
8,513244,121100,1441,4-32-20-5-1636459,"LINESTRING (476996195 123801681, 476997340 123801247, 476999386 123800382, 477000899 123799615, 477002372 123798948, 477002945 123798615, 477004458 123797582, 477005563 123796748, 477006545 123795848, 477007445 123794882, 477008099 123794048, 477008999 123792516, 477009449 123791516, 477009777 123790749, 477009940 123790183, 477010186 123789016, 477010431 123787316, 477010922 123784249, 477011045 123782617, 477011086 123780550, 477010881 123776384, 477010799 123775217, 477010758 123774185, 477010799 123773151, 477010963 123772185, 477011208 123771185, 477011413 123770651, 477011945 123769485, 477012272 123768885, 477012763 123768185, 477013499 123767151, 477014277 123766185, 477017058 123762519, 477019063 123759919, 477021067 123757252, 477022498 123755420)"
9,513244,121100,1441,4-32-20-5-1636463,"LINESTRING (476996195 123801681, 476994519 123802514, 476993578 123802981, 476992269 123803214)"
10,513244,121100,1441,4-32-20-5-1636467,"LINESTRING (477022498 123755420, 477023889 123753653, 477024503 123752953, 477025485 123752087, 477026712 123751087, 477027735 123750453, 477028635 123749953, 477030067 123749320, 477031744 123748720, 477033462 123748287, 477035670 123748087, 477037593 123748053, 477039311 123748153, 477042052 123748720, 477046387 123749820, 477048678 123750320, 477051378 123750687, 477052605 123750787, 477054118 123750853, 477055468 123750853, 477057268 123750787, 477059641 123750588, 477062791 123750088, 477066676 123749121, 477073672 123747388, 477081157 123745888, 477084307 123745221, 477087784 123744222, 477092774 123743022, 477102632 123740822)"
11,513244,121100,1441,4-32-20-5-1636471,"LINESTRING (477102632 123740822, 477106600 123740089, 477110895 123739089)"
12,513244,131100,1442,4-32-20-5-1636475,"LINESTRING (477070894 123653466, 477068930 123651566, 477066354 123648733, 477065290 123647533, 477064963 123647101, 477063736 123645234, 477062795 123643334, 477061732 123640834, 477060505 123638035, 477059114 123635002, 477058787 123634202, 477058582 123633802, 477058132 123632968, 477057232 123631602, 477056701 123630968, 477055638 123629769, 477054451 123628669, 477053879 123628203, 477052897 123627469, 477050565 123626069, 477046352 123623769, 477042957 123621903, 477037803 123618970)"
13,513244,131100,1442,4-32-20-5-1636479,"LINESTRING (477113720 123666899, 477111225 123665465, 477106357 123662799, 477105335 123662265, 477104190 123661632, 477103331 123661232, 477102553 123660932, 477101613 123660599, 477100017 123660199, 477099076 123659999, 477098095 123659865, 477091714 123659399, 477082878 123658665, 477081447 123658465, 477080506 123658299, 477078911 123657899, 477078093 123657665, 477077643 123657499)"
14,513244,131100,1442,4-32-20-5-1636487,"LINESTRING (477037803 123618970, 477034532 123617070, 477032282 123615804, 477030563 123614670, 477029704 123614070, 477028682 123613237, 477027536 123612104, 477027168 123611704)"
15,513244,131100,1442,4-32-20-5-1636491,"LINESTRING (477102632 123740822, 477106478 123739689, 477110405 123738789)"
16,513244,131100,1442,4-32-20-5-1636499,"LINESTRING (477110405 123738789, 477114618 123737723, 477116745 123737156, 477119159 123736290, 477120345 123735756, 477120877 123735490, 477121286 123735223, 477122062 123734690, 477122676 123734256, 477123248 123733723, 477123821 123733156, 477124558 123732190, 477124885 123731690, 477125253 123731090, 477125662 123730124, 477125867 123729457, 477126112 123728157, 477126235 123726724, 477126317 123723492, 477126317 123718992, 477126359 123716026, 477126359 123711559, 477126359 123703960, 477126359 123702760, 477126399 123693762, 477126399 123686530, 477126360 123680563, 477126319 123680030, 477126196 123679198, 477126155 123678864, 477125869 123678031, 477125460 123677031, 477125091 123676431, 477124150 123674998, 477122555 123672664, 477121900 123671931, 477121450 123671499, 477120511 123670832, 477119651 123670265, 477118301 123669465, 477113720 123666899)"
17,513244,131200,1442,4-32-20-5-1636507,"LINESTRING (477070894 123653466, 477072367 123654600, 477073307 123655266, 477074902 123656265, 477076211 123656899, 477077643 123657499)"
18,513244,141100,1443,4-32-20-5-1636519,"LINESTRING (476991408 123836444, 476996194 123843610, 476997298 123845410, 476997830 123846410, 476998198 123847610, 476998321 123847942, 476998526 123848642, 476998648 123849342, 476998894 123850376, 476999017 123851176, 476999098 123852042, 476999139 123852476, 476999139 123853376, 476999098 123854409, 476999057 123855042, 476999017 123855409, 476998935 123855876, 476998730 123856742, 476998239 123858775, 476997789 123860641, 476997420 123862108, 476997216 123862941, 476996356 123866641, 476995497 123870140, 476995252 123871207, 476994761 123873274, 476994516 123874207, 476994352 123875107, 476994270 123875674, 476994188 123876507, 476993820 123883006, 476993205 123893972, 476993042 123897105, 476992960 123897872, 476992755 123898938, 476992592 123899572, 476992428 123900004, 476992142 123900704, 476992060 123900904, 476991896 123901237, 476991528 123901971, 476990915 123903071)"
19,513244,121100,1441,4-32-20-582-1569983,"LINESTRING (476992269 123803214, 476990919 123804214)"
20,513244,121100,1441,4-32-20-582-1569986,"LINESTRING (476992269 123803214, 476993373 123802547, 476994805 123802114, 476996195 123801681)"
21,513244,141100,1443,4-32-20-598-46790739,"LINESTRING (476990918 123835678, 476991408 123836444)"
