,meshcode,elcode,attrnmno,objectid,geometry
0,533936,111100,2616,4-32-20-8-6401469,"LINESTRING (503132871 128411658, 503131072 128408492, 503130499 128406925, 503130417 128406625, 503130253 128405925, 503130049 128404692, 503130090 128403492, 503130294 128401459, 503130663 128399460)"
1,533936,121100,2617,4-32-20-8-6401473,"LINESTRING (503132175 128411658, 503130213 128407992, 503129558 128406092, 503129353 128405059, 503129231 128404425, 503129231 128403025, 503129272 128402192, 503129435 128399359)"
2,533936,121100,2617,4-32-20-8-6401477,"LINESTRING (503091355 128324567, 503088859 128323400, 503088369 128323100)"
3,533936,121100,2617,4-32-20-8-6401489,"LINESTRING (503125633 128359330, 503127105 128364963, 503128045 128368063, 503128618 128370329, 503129150 128372628, 503130132 128376828, 503130704 128380028, 503131073 128384061, 503131031 128386727, 503129722 128396493, 503129435 128399359)"
4,533936,121100,2617,4-32-20-8-6401493,"LINESTRING (503125633 128359330, 503124405 128354664, 503123465 128351198, 503122933 128349831, 503122402 128348431, 503121502 128346098, 503120561 128344098, 503119988 128343031, 503118761 128341199, 503117820 128339999, 503117411 128339466, 503116429 128338432, 503115611 128337666, 503114712 128336899, 503113771 128336132, 503112830 128335466, 503112094 128334932, 503110744 128334066, 503110417 128333899, 503108821 128333099, 503104936 128331266, 503100272 128329032, 503097081 128327433, 503093687 128325600, 503091355 128324567)"
5,533936,131100,2618,4-32-20-8-6401505,"LINESTRING (503501965 128319844, 503507406 128317845, 503511784 128316345, 503515874 128314979, 503518123 128314213, 503519555 128313680, 503521683 128312846, 503524014 128311946, 503529251 128310013, 503538332 128306681)"
6,533936,131100,2618,4-32-20-8-6401509,"LINESTRING (503501965 128319844, 503497916 128321211, 503497385 128321344, 503496035 128321778, 503494071 128322611, 503492966 128323011, 503490635 128323844, 503489080 128324311, 503487566 128324743, 503485644 128325110, 503483354 128325477, 503481472 128325643, 503467687 128326443, 503461141 128326810, 503454638 128327209, 503449115 128327509, 503446784 128327642, 503430094 128328641, 503421503 128329208, 503416022 128329508, 503415122 128329508, 503413486 128329441, 503412177 128329308, 503398269 128328007, 503377325 128325840)"
7,533936,131100,2618,4-32-20-8-6401513,"LINESTRING (503319483 128380867, 503322674 128381033, 503323533 128381100, 503324556 128381100, 503325701 128381100, 503327009 128381033, 503327868 128380933, 503329055 128380733, 503330077 128380533, 503331673 128380033, 503332573 128379733, 503333923 128379100, 503334946 128378533, 503336091 128377767, 503336582 128377400, 503337196 128376867, 503338382 128375734, 503342513 128371501)"
8,533936,131100,2618,4-32-20-8-6401521,"LINESTRING (503342513 128371501, 503343985 128370001, 503344681 128369234, 503345540 128368202, 503346235 128367235, 503346931 128366035, 503347504 128364969, 503347995 128363669, 503348363 128362435, 503348649 128361202, 503348772 128360636, 503348854 128359870, 503349017 128358636, 503349140 128357370, 503349304 128356070, 503349467 128354670, 503349631 128353303, 503349795 128351937, 503349958 128350537, 503350122 128349137, 503350285 128347671, 503350449 128346204, 503350654 128344771, 503350735 128344204, 503350817 128343372, 503350899 128342305, 503351227 128339572, 503351555 128337005, 503351841 128335738, 503352086 128334906, 503352659 128333473, 503353477 128332073, 503354132 128331239, 503355768 128329606, 503357117 128328473, 503358058 128327873, 503359081 128327374, 503360267 128326840, 503361372 128326440, 503364195 128325740, 503365831 128325407, 503368204 128325240)"
9,533936,131200,2618,4-32-20-8-6401529,"LINESTRING (503319483 128380867, 503309461 128380166, 503299317 128380066, 503294777 128380266, 503292445 128380566, 503289377 128381166, 503283241 128383265, 503278946 128384965, 503275511 128386565, 503273915 128387365, 503272852 128387931, 503271911 128388831, 503271256 128389398, 503266103 128394230, 503261480 128398063, 503259393 128399763, 503258248 128400729, 503256612 128402229, 503251172 128406662, 503248554 128408728, 503245076 128411661)"
10,533936,131200,2619,4-32-20-8-6401533,"LINESTRING (503088370 128316134, 503099904 128321167, 503101949 128321867, 503108413 128324600, 503111030 128326067, 503113607 128327900, 503115162 128329500, 503116430 128330933, 503118188 128333132, 503119579 128335132, 503123834 128341632, 503125101 128343865, 503126205 128346665, 503126901 128348798, 503128005 128354030, 503128333 128356064, 503129928 128358697)"
11,533936,141100,0,4-32-20-8-6401537,"LINESTRING (503113735 128217046, 503115249 128213181, 503115862 128211714, 503116517 128210514, 503118481 128206648, 503119462 128204982, 503121712 128200716, 503122981 128198316, 503126744 128191817, 503129362 128187285, 503134762 128177852, 503135867 128176087, 503136644 128174687, 503137790 128172253, 503138976 128168788, 503139508 128166888, 503140040 128164821, 503140899 128159189, 503141882 128151490, 503142618 128145957, 503143109 128142391, 503143395 128139525, 503143763 128135392, 503144010 128129893, 503144214 128125360, 503144174 128121294, 503144337 128117261, 503144378 128115828, 503144174 128114561)"
12,533936,141100,0,4-32-20-8-6401541,"LINESTRING (503113735 128217046, 503113202 128221513, 503113039 128224645, 503113080 128227179, 503113325 128230012, 503113734 128235611, 503113980 128237144, 503114675 128239911, 503115370 128242343, 503115697 128244110, 503115860 128246110, 503116229 128251809, 503116351 128254209, 503116556 128257276, 503116638 128259575, 503116597 128260041, 503116433 128260608, 503116310 128261175, 503116147 128261841, 503115983 128262275, 503115820 128262741, 503115574 128263208, 503115329 128263675, 503114920 128264241, 503114674 128264608, 503114306 128265075, 503113897 128265508, 503113529 128265841, 503113120 128266207, 503112506 128266674, 503111729 128267174, 503110951 128267674, 503110256 128268074, 503109683 128268374, 503109110 128268707, 503108579 128269007, 503108006 128269374, 503107474 128269740, 503106983 128270040, 503106370 128270574, 503105960 128270974, 503105388 128271574, 503105060 128271974, 503104651 128272473, 503104283 128273006, 503103670 128273773, 503102933 128274773, 503102401 128275439, 503101992 128276006, 503101338 128276839, 503100601 128277873, 503100151 128278406, 503099701 128279006, 503099251 128279605, 503098720 128280172, 503098310 128280638, 503097738 128281305, 503097370 128281672, 503096756 128282305, 503096183 128282938, 503095488 128283638, 503094833 128284338, 503094056 128285172, 503093238 128286005, 503092339 128286937, 503091521 128287837, 503090825 128288537, 503090498 128288871, 503090211 128289137, 503089843 128289437, 503089148 128289971, 503088657 128290271, 503088371 128290471)"
13,533936,141100,0,4-32-20-8-6401545,"LINESTRING (503113735 128217046, 503113899 128215881, 503114226 128214481, 503114717 128212981, 503115331 128211281, 503115862 128210181, 503119667 128202848, 503121631 128199249, 503126499 128189217, 503127440 128185985, 503128217 128180786, 503129200 128169120, 503131000 128151023, 503131983 128145790, 503132310 128144357, 503132719 128143024, 503133537 128141291, 503134396 128139824, 503136728 128136458, 503137710 128134958, 503139305 128132459, 503140246 128130959, 503141064 128129459, 503142046 128126993, 503142374 128125594, 503142701 128124427, 503143028 128121694, 503143233 128119361, 503143478 128117261, 503143724 128115795, 503144174 128114561)"
14,533936,141100,0,4-32-20-8-6401549,"LINESTRING (503144174 128114561, 503144297 128111696)"
15,533936,141100,0,4-32-20-8-6401553,"LINESTRING (503312652 128380932, 503315270 128381032, 503318297 128381167, 503321078 128381233, 503323533 128381500, 503324433 128381667, 503325415 128382000, 503326191 128382300, 503326927 128382533, 503327623 128382700, 503328850 128382833, 503330241 128382967, 503333064 128383233, 503335682 128383500, 503338381 128383767, 503341122 128384033, 503343945 128384300, 503346767 128384567, 503348444 128384767, 503350653 128385067, 503352207 128385200, 503356216 128385600, 503357894 128385933, 503359161 128386333, 503359815 128386633, 503360511 128386967, 503361329 128387467, 503362106 128388033, 503362761 128388767, 503363947 128390299, 503367915 128397199, 503368732 128398566, 503369305 128399599, 503369632 128400365, 503369878 128401131, 503370001 128401531, 503370042 128401965, 503370123 128402431, 503370287 128404931, 503370860 128411664)"
16,533936,191100,2620,4-32-20-8-6401557,"LINESTRING (503259192 128280343, 503261728 128277178, 503263651 128274844, 503264060 128274311, 503264469 128273478, 503264633 128272811, 503264715 128272044, 503264675 128270212, 503264675 128269812, 503264757 128269345, 503264838 128268912, 503265002 128268512, 503265207 128268045, 503265452 128267612, 503266229 128266679, 503268193 128264312, 503268397 128264079, 503268438 128263913, 503268479 128263613, 503268397 128263380, 503268275 128263146, 503267866 128262846, 503265125 128261313, 503264920 128261146, 503264797 128260913, 503264757 128260713, 503264797 128260446, 503264879 128260213, 503265043 128259980, 503268316 128255947, 503269379 128254681, 503269952 128254181, 503270361 128253947, 503270688 128253847, 503271752 128253747, 503272447 128253781, 503273347 128253847, 503273675 128254014, 503273797 128254081, 503273920 128254247, 503274043 128254481, 503274084 128254614, 503274084 128254881, 503274043 128255014, 503273920 128255314, 503273716 128255581, 503273225 128256147, 503268479 128261280)"
17,533936,191100,2620,4-32-20-8-6401569,"LINESTRING (503143100 128354431, 503142445 128353665, 503139991 128350931, 503138273 128349065, 503137209 128347365, 503136636 128346165, 503135819 128344266, 503134796 128341866, 503133365 128338466, 503132710 128336932)"
18,533936,191100,2620,4-32-20-8-6401577,"LINESTRING (503132710 128336932, 503131565 128334033, 503129928 128330033, 503129805 128329767, 503128661 128327400, 503128416 128326833, 503128211 128326068, 503128006 128324668, 503127925 128323701, 503127761 128322668, 503127802 128321734, 503128006 128318734, 503128211 128316102, 503128252 128314202, 503128252 128313869, 503128252 128313702, 503128252 128310335)"
19,533936,191100,2620,4-32-20-8-6401585,"LINESTRING (503128252 128310335, 503128253 128306270, 503128130 128305203, 503128007 128298404, 503127967 128297937, 503127967 128297804, 503127967 128297437, 503128007 128295471, 503127967 128294571, 503127803 128293772)"
20,533936,191100,2620,4-32-20-8-6401593,"LINESTRING (503203111 128267409, 503200656 128266009, 503192802 128261810, 503181023 128255343)"
21,533936,191100,2620,4-32-20-8-6401597,"LINESTRING (503181023 128255343, 503178773 128254143, 503177136 128253310)"
22,533936,191100,2620,4-32-20-8-6401605,"LINESTRING (503182987 128237146, 503181924 128238446, 503180655 128239880, 503180205 128240346, 503179387 128241079, 503178815 128241612, 503178078 128242379, 503177710 128242745, 503175992 128244879, 503173946 128247378, 503173660 128247778, 503173455 128248144, 503173333 128248511, 503173169 128249044, 503173128 128249344, 503173128 128249644, 503173169 128250011, 503173292 128250311, 503173537 128250811, 503173824 128251211, 503174274 128251611, 503174683 128251911, 503175541 128252411, 503177136 128253310)"
23,533936,191100,2620,4-32-20-8-6401613,"LINESTRING (503182987 128237146, 503185074 128234547, 503189696 128228848, 503191169 128227048, 503192110 128225882, 503193951 128223582, 503194605 128222849, 503195219 128222249, 503195874 128221749, 503196610 128221349, 503197346 128221083, 503197960 128220916, 503198696 128220816, 503199433 128220749, 503200374 128220816, 503201027 128220916, 503201354 128221016, 503201804 128221149, 503202295 128221316, 503203236 128221783, 503204259 128222316, 503205895 128223249)"
24,533936,191100,2620,4-32-20-8-6401625,"LINESTRING (503223032 128254779, 503231745 128259478, 503235549 128261544, 503239230 128263544, 503241562 128264778, 503242626 128265344, 503244180 128266211, 503248476 128268544)"
25,533936,191100,2620,4-32-20-8-6401633,"LINESTRING (503223032 128254779, 503221887 128254179, 503218779 128252479, 503216365 128251145, 503212684 128249145)"
26,533936,191100,2620,4-32-20-8-6401637,"LINESTRING (503135694 128395226, 503139294 128393126, 503139744 128392793, 503139990 128392427, 503140194 128392027, 503140194 128391594, 503140113 128391227, 503139540 128390627, 503139008 128390027, 503138108 128389127, 503135694 128386427)"
27,533936,191100,2620,4-32-20-8-6401641,"LINESTRING (503248476 128268544, 503254407 128271778, 503257597 128273511, 503258907 128274211, 503259520 128274644, 503259725 128274778, 503259929 128274978, 503260134 128275178, 503260338 128275444, 503260543 128275744, 503260584 128275878, 503260747 128276344, 503260829 128276844, 503260788 128277177, 503260788 128277343, 503260707 128277677, 503260583 128277977, 503260378 128278310, 503259887 128278943, 503259560 128279443, 503259192 128280343)"
28,533936,191100,2620,4-32-20-8-6401649,"LINESTRING (503203111 128267409, 503204665 128268242, 503205565 128268742, 503206179 128269142, 503206506 128269409, 503206792 128269642, 503207201 128270142, 503207488 128270542, 503207733 128270909, 503207897 128271342, 503208101 128272042, 503208141 128272876, 503208060 128273709, 503207814 128274376, 503207487 128275008, 503204338 128278941, 503202047 128281708, 503199020 128285474, 503198283 128286340, 503197792 128286840, 503197301 128287340, 503196851 128287774, 503195992 128288407, 503195338 128288840, 503194765 128289139, 503194192 128289373, 503193292 128289739, 503192515 128289973, 503191779 128290139, 503191042 128290239, 503190306 128290273, 503189775 128290306, 503188998 128290306, 503188671 128290273, 503187934 128290206, 503187157 128290139, 503186257 128289973, 503184130 128289373, 503175090 128286206, 503173822 128285839, 503172144 128285506, 503170631 128285373, 503169527 128285339, 503167809 128285473, 503166377 128285706, 503164618 128286139, 503150792 128290505, 503135943 128295205, 503131280 128296804, 503130053 128297137, 503128662 128297504, 503127598 128297771, 503125348 128298304, 503124448 128298504, 503123835 128298604, 503123303 128298671, 503122648 128298671, 503122036 128298637, 503121422 128298537, 503120931 128298437, 503120113 128298171, 503119622 128297937, 503119131 128297637, 503118681 128297337, 503118272 128296971, 503117945 128296604, 503117699 128296204, 503117495 128295804, 503117290 128295337, 503117168 128294904, 503117127 128294471, 503117127 128294071, 503117208 128293571, 503117331 128293137, 503117495 128292704, 503117658 128292437, 503117945 128291972, 503118190 128291672, 503118599 128291305, 503119008 128290972, 503119622 128290605, 503120154 128290305, 503120808 128290072, 503121299 128289938, 503121790 128289905, 503122404 128289872, 503123018 128289872, 503123795 128290005, 503124368 128290138, 503125022 128290372, 503125677 128290705, 503126208 128291072, 503126576 128291405, 503127067 128291972, 503127353 128292372, 503127557 128292905, 503127803 128293772)"
29,533936,171100,2621,4-32-20-8-6401653,"LINESTRING (503271709 128296109, 503283080 128302241, 503285412 128303541, 503287703 128304608, 503289830 128305475, 503293429 128306775)"
30,533936,171200,2621,4-32-20-8-6401657,"LINESTRING (503271709 128296109, 503204297 128258810)"
31,533936,171200,2621,4-32-20-8-6401661,"LINESTRING (503204297 128258810, 503202662 128257810, 503191085 128252244, 503189081 128251444, 503186054 128250611, 503182536 128250011, 503176810 128249811, 503170919 128249544, 503164906 128249378, 503157911 128249244, 503151448 128249211, 503142613 128249110, 503136927 128249143, 503130996 128249043, 503130259 128248777, 503129728 128248310, 503128705 128247743, 503126578 128247410, 503121383 128247277, 503118315 128247143, 503115247 128247110, 503112710 128246810, 503110625 128246210, 503108743 128245543, 503107066 128244643, 503106207 128243910, 503104980 128241443, 503104039 128239577, 503103630 128238877, 503103222 128238010, 503103181 128236011)"
32,533936,191100,2622,4-32-20-8-6401665,"LINESTRING (503088378 128128257, 503088949 128135023, 503089154 128137890, 503089277 128140122, 503089358 128142089)"
33,533936,191100,2622,4-32-20-8-6401669,"LINESTRING (503088378 128113626, 503089114 128111693)"
34,533936,191100,2622,4-32-20-8-6401677,"LINESTRING (503124160 128357164, 503123996 128357797, 503124201 128359964)"
