,meshcode,linkno,orflg,signcnt,signno,maxspeed,signkeido,signido,signpos,variable,existroad,exlinkno,geometry
0,533936,6,1,1,1,40,503094282,128350722,0,0,0,0,
1,533936,10,1,1,1,40,503110259,128298007,0,0,0,0,
2,533936,12,1,1,1,40,503307080,128373244,0,0,0,0,
3,533936,16,1,1,1,40,503524109,128315133,16,0,0,0,
4,533936,41,1,1,1,40,503196148,128289208,0,0,1,6602,
5,533936,53,1,1,1,50,503497818,128324515,0,0,0,0,
6,533936,55,1,1,1,50,503093058,128351099,0,0,0,0,
7,533936,56,1,2,1,40,503125398,128350625,0,0,0,0,
8,533936,56,1,2,2,50,503118991,128351121,0,0,0,0,
9,533936,57,1,1,1,60,503110906,128299925,0,0,0,0,
10,533936,61,1,2,1,40,503129972,128349978,16,0,0,0,
11,533936,61,1,2,2,50,503132708,128340655,0,0,0,0,
12,533936,63,1,1,1,70,503170387,128239549,0,1,0,0,
13,533936,69,1,1,1,60,503126556,128329274,0,0,0,0,
14,533936,71,1,1,1,50,503325300,128327981,0,0,0,0,
15,533936,72,1,1,1,60,503299385,128402779,0,0,0,0,
16,533936,76,1,1,1,40,503143090,128401389,0,0,0,0,
17,533936,80,1,1,1,60,503458119,128410833,0,0,0,0,
18,533936,81,1,2,1,40,503126850,128324742,16,0,0,0,
19,533936,81,1,2,2,40,503129064,128336370,0,0,0,0,
20,533936,83,1,1,1,50,503152732,128390737,2,0,0,0,
21,533936,91,1,1,1,80,503488510,128326335,4,1,0,0,
22,533936,92,1,1,1,80,503515474,128316595,0,0,0,0,
23,533936,93,1,1,1,80,503497030,128324034,3,1,0,0,
24,533936,96,1,2,1,60,503463460,128346763,0,0,0,0,
25,533936,96,1,2,2,60,503464715,128363353,0,0,0,0,
26,533936,97,1,1,1,60,503457092,128394140,0,0,0,0,
27,533936,98,1,1,1,60,503460890,128370703,0,0,0,0,
28,533936,100,1,1,1,60,503457876,128394844,0,0,0,0,
29,533936,101,1,1,1,40,503143286,128401927,0,0,0,0,
30,533936,110,1,1,1,80,503259902,128292163,16,0,0,0,
31,533936,111,1,1,1,80,503221834,128272103,0,0,0,0,
32,533936,114,1,1,1,80,503385201,128329130,1,1,0,0,
33,533936,115,1,2,1,80,503385472,128328276,1,0,0,0,
34,533936,115,1,2,2,80,503400271,128329632,1,1,0,0,
35,533936,5998,1,1,1,50,503156104,128394714,0,0,0,0,
36,533936,6062,1,1,1,50,503211825,128283271,0,0,0,0,
37,533936,6175,1,1,1,50,503301576,128312414,0,0,0,0,
38,533936,6193,1,1,1,60,503115828,128307577,0,0,0,0,
39,533936,6197,1,1,1,60,503143251,128293356,0,1,0,0,
40,533936,6201,1,2,1,60,503128252,128309045,0,1,0,0,
41,533936,6201,1,2,2,60,503127096,128329661,0,1,0,0,
42,533936,6205,1,2,1,60,503134105,128295498,0,1,0,0,
43,533936,6205,1,2,2,60,503127548,128308743,0,1,0,0,
44,533936,6211,1,1,1,60,503164824,128285756,0,1,0,0,
45,533936,6226,1,1,1,60,503179029,128287892,0,1,0,0,
46,533936,6241,1,1,1,80,503301599,128311453,3,1,0,0,
47,533936,6253,1,1,1,60,503321002,128354784,0,0,0,0,
48,533936,6259,1,1,1,60,503303559,128381203,0,0,0,0,
49,533936,6267,1,1,1,80,503359427,128326299,4,0,0,0,
50,533936,6271,1,1,1,80,503454125,128328712,0,1,0,0,
51,533936,6272,1,1,1,80,503364696,128326623,4,0,0,0,
52,533936,6282,1,1,1,80,503466309,128328556,3,1,0,0,
53,533936,6286,1,2,1,50,503318009,128315983,0,0,0,0,
54,533936,6286,1,2,2,50,503325247,128326191,0,0,0,0,
55,533936,6317,1,1,1,40,503370957,128328112,0,0,0,0,
56,533936,6375,1,2,1,80,503287276,128307211,0,0,0,0,
57,533936,6375,1,2,2,80,503295220,128309454,16,0,0,0,
58,533936,6426,1,1,1,50,503211825,128283271,0,0,0,0,
59,533936,6434,1,1,1,60,503234638,128277513,0,1,0,0,
60,533936,6474,1,1,1,60,503476856,128327014,1,0,0,0,
61,533936,6485,1,1,1,40,503133523,128345182,0,0,0,0,
62,533936,6494,1,1,1,50,503350905,128324576,0,0,1,6488,
63,533936,6495,1,1,1,40,503129730,128350498,0,0,0,0,
64,533936,6508,1,1,1,50,503137102,128353427,0,0,0,0,
65,533936,6523,1,1,1,40,503132871,128404950,0,0,0,0,
66,533936,6538,1,1,1,40,503137343,128378516,0,0,0,0,
67,533936,6586,1,1,1,60,503455354,128328287,0,0,0,0,
68,533936,6590,1,2,1,60,503449395,128330183,0,0,0,0,
69,533936,6590,1,2,2,60,503462802,128349071,0,0,0,0,
70,533936,6606,1,1,1,40,503173883,128286358,0,0,0,0,
71,533936,6661,1,1,1,40,503458795,128405296,0,0,0,0,
72,533936,6680,1,2,1,60,503323889,128330481,0,0,0,0,
73,533936,6680,1,2,2,60,503313384,128367138,0,0,0,0,
74,533936,6749,1,1,1,60,503298288,128394420,0,0,0,0,
75,533936,6832,1,1,1,60,503207866,128286782,2,1,0,0,
76,533936,6846,1,1,1,50,503140369,128381656,1,0,0,0,
77,533936,6979,1,1,1,40,503515749,128316484,16,0,0,0,
78,533936,6992,1,1,1,60,503204278,128262893,0,1,0,0,
79,533936,7018,1,1,1,40,503505175,128322171,0,0,0,0,
80,533936,7044,1,1,1,60,503470358,128328885,0,0,0,0,
81,533936,7066,1,1,1,40,503141459,128383042,0,0,0,0,
82,533936,7082,1,1,1,60,503285164,128304798,0,0,0,0,
83,533936,7096,1,1,1,60,503266114,128302814,0,0,0,0,
84,533936,7224,1,1,1,80,503175359,128244277,16,0,0,0,
85,533936,7234,1,1,1,80,503197520,128257616,0,0,0,0,
86,533936,7266,1,1,1,40,503123834,128325226,0,0,0,0,
87,533936,7416,1,1,1,40,503175435,128245222,0,0,0,0,
88,533936,7427,1,1,1,70,503188530,128253460,16,0,0,0,
89,533936,7447,1,2,1,80,503244147,128282789,0,0,0,0,
90,533936,7447,1,2,2,80,503252465,128287203,0,0,0,0,
91,533936,7475,1,1,1,40,503404830,128329675,0,0,1,7296,
92,533936,7485,1,1,1,40,503136703,128352403,0,0,0,0,
93,533936,7502,1,1,1,50,503135978,128359163,0,0,0,0,
94,533936,7590,1,1,1,60,503109289,128188486,0,0,1,8427,
95,533936,7658,1,2,1,40,503242450,128331113,0,0,0,0,
96,533936,7658,1,2,2,60,503235506,128338493,0,0,1,8245,
97,533936,7682,1,1,1,50,503136684,128375918,0,0,0,0,
98,533936,7744,1,1,1,70,503168982,128239970,0,1,0,0,
99,533936,7767,1,1,1,80,503244946,128284791,0,0,0,0,
100,533936,7799,1,2,1,80,503412382,128331644,2,1,0,0,
101,533936,7799,1,2,2,80,503434426,128330826,0,1,0,0,
102,533936,7803,1,1,1,50,503124378,128350147,0,0,0,0,
103,533936,7810,1,1,1,40,503230049,128343225,0,0,0,0,
104,533936,7937,1,1,1,80,503420770,128331039,4,1,0,0,
105,533936,8001,1,2,1,60,503111269,128207695,2,0,0,0,
106,533936,8001,1,2,2,60,503096995,128225239,2,0,0,0,
107,533936,8017,1,2,1,60,503100927,128269384,0,0,0,0,
108,533936,8017,1,2,2,60,503100396,128243319,0,0,0,0,
109,533936,8031,1,1,1,40,503250980,128319365,0,0,1,8612,
110,533936,8106,1,2,1,60,503111877,128209910,2,0,0,0,
111,533936,8106,1,2,2,60,503097369,128225984,2,0,0,0,
112,533936,8111,1,1,1,60,503104939,128212492,0,0,0,0,
113,533936,8133,1,1,1,60,503258681,128311597,0,0,0,0,
114,533936,8153,1,1,1,40,503218724,128354172,0,0,0,0,
115,533936,8179,1,1,1,50,503163068,128399752,0,0,0,0,
116,533936,8199,1,1,1,60,503096454,128174109,0,0,0,0,
117,533936,8200,1,1,1,60,503102927,128201167,0,0,0,0,
118,533936,8220,1,3,1,60,503107038,128233488,0,0,0,0,
119,533936,8220,1,3,2,60,503100736,128259397,0,0,0,0,
120,533936,8220,1,3,3,60,503104035,128284775,0,0,0,0,
121,533936,8252,1,1,1,60,503219088,128354777,0,0,1,8393,
122,533936,8282,1,1,1,40,503113646,128182120,0,0,0,0,
123,533936,8305,1,1,1,60,503254858,128290277,0,0,0,0,
124,533936,8309,1,1,1,60,503261199,128306498,0,0,0,0,
125,533936,8370,1,1,1,60,503266918,128301360,0,0,0,0,
126,533936,8418,1,1,1,40,503117970,128120186,0,0,0,0,
127,533936,8490,1,1,1,60,503243749,128328846,0,0,0,0,
128,533936,8522,1,1,1,40,503126446,128205476,0,0,0,0,
129,533936,8562,1,1,1,40,503110576,128189135,0,0,0,0,
130,533936,8564,1,1,1,40,503108830,128184527,0,0,0,0,
131,533936,8602,1,1,1,40,503115365,128182905,0,0,0,0,
132,533936,8642,1,1,1,40,503109852,128189042,16,0,0,0,
133,533936,8644,1,1,1,60,503102893,128190781,0,0,0,0,
134,533936,8654,1,1,1,40,503244611,128329243,0,0,0,0,
135,533936,8682,1,1,1,70,503118501,128176394,0,0,0,0,
136,533936,8683,1,1,1,40,503102782,128196123,0,0,1,8604,
137,533936,8717,1,1,1,80,503118399,128131444,0,0,0,0,
138,533936,8720,1,1,1,80,503119550,128135013,0,0,0,0,
139,533936,8760,1,1,1,60,503101578,128187744,0,0,0,0,
140,533936,8761,1,1,1,70,503125980,128206043,16,0,0,0,
141,533936,8785,1,1,1,80,503119590,128113275,0,0,0,0,
142,533936,8796,1,1,1,40,503118170,128177598,0,0,0,0,
143,533936,8799,1,2,1,70,503126704,128207401,1,0,0,0,
144,533936,8799,1,2,2,70,503129197,128209449,0,1,0,0,
145,533936,8835,1,1,1,40,503120364,128181048,0,0,0,0,
146,533936,8839,1,1,1,70,503130641,128209117,0,1,0,0,
147,533936,8848,1,1,1,60,503253169,128318045,0,0,0,0,
148,533936,8850,1,1,1,40,503146211,128398615,0,0,0,0,
149,533936,8865,1,1,1,80,503119376,128157521,16,0,0,0,
150,533936,8867,1,1,1,40,503122277,128199796,0,0,0,0,
151,533936,8947,1,1,1,40,503118156,128172642,0,0,0,0,
152,533936,9004,1,1,1,40,503183950,128252168,0,0,0,0,
153,533936,9019,1,1,1,40,503118357,128157487,1,0,1,9042,
154,533936,9043,1,1,1,40,503120221,128192728,0,0,0,0,
155,533936,9105,1,1,1,40,503118212,128190805,0,0,1,9044,
156,533936,9119,1,1,1,40,503120431,128162111,0,0,0,0,
157,533936,9137,1,1,1,70,503121432,128201730,0,0,0,0,
158,533936,9160,1,1,1,70,503119809,128187606,0,0,0,0,
159,533936,9197,1,2,1,40,503120570,128167093,0,0,0,0,
160,533936,9197,1,2,2,40,503120388,128169376,0,0,0,0,
161,533936,9271,1,1,1,70,503120047,128156093,0,0,0,0,
162,533936,9307,1,1,1,40,503173044,128410445,0,0,1,8556,
